Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3(),Delta_t,Sum Acceleration (g),Corrected_Acc_X(m/s²),Corrected_Acc_Y(m/s²),Corrected_Acc_Z(m/s²)
1900-01-01 15:32:12.827,COM12,,"-0,629","-0,011","0,686","-1,099","-66,406","4,028","-4,521","45,077","2,999","96,824","74,295","89,817","20,07",96601,"402,58",,,,,,,,,,,,,,"0,102","0,04600000000000004","-13,044971417156228","-1,242394622538895","-0,17617448153780124"
1900-01-01 15:32:12.926,COM12,,"-0,456","-0,009","0,759","0,183","-90,759","4,333","-4,021","37,189","9,811","95,420","74,269","84,682","20,09",96601,"402,58",,,,,,,,,,,,,,"0,099","0,294","-10,184657934194105","-1,7740391287611392","-0,3500695280925381"
1900-01-01 15:32:13.025,COM12,,"-0,369","-0,001","0,883","1,038","-79,224","3,357","-3,658","29,147","16,139","93,106","74,126","79,183","20,11",96601,"402,58",,,,,,,,,,,,,,"0,099","0,513","-8,026243204004887","-1,9364519941948513","0,11189655224717221"
1900-01-01 15:32:13.125,COM12,,"-0,356","0,003","0,951","0,183","-39,795","2,747","-3,395","23,681","22,099","90,714","73,931","75,114","20,07",96601,"402,58",,,,,,,,,,,,,,"0,1","0,598","-6,918066324881582","-1,9885390873177684","0,3611197177693519"
1900-01-01 15:32:13.225,COM12,,"-0,289","0,0","0,927","0,061","-33,752","2,38","-3,197","20,693","27,62","89,089","73,814","72,891","20,07",96600,"402,67",,,,,,,,,,,,,,"0,1","0,6380000000000001","-5,648107912458055","-2,089321586397577","-0,0689770211394034"
1900-01-01 15:32:13.325,COM12,,"-0,141","0,008","0,968","1,343","-52,185","2,075","-2,95","16,122","33,03","87,048","73,645","70,551","20,11",96600,"402,67",,,,,,,,,,,,,,"0,1","0,835","-3,3888167792839603","-1,8276588272332515","0,08437047312848378"
1900-01-01 15:32:13.425,COM12,,"-0,208","0,011","1,04","0,305","-15,747","0,183","-2,752","12,777","37,908","84,994","73,463","68,510","20,09",96601,"402,58",,,,,,,,,,,,,,"0,1","0,8430000000000001","-3,4608926582514385","-1,5951385749451088","0,6463467649213825"
1900-01-01 15:32:13.525,COM12,,"-0,158","0,007","0,967","0,305","-14,099","0,183","-2,571","12,31","42,413","84,344","73,411","67,886","20,07",96600,"402,67",,,,,,,,,,,,,,"0,1","0,816","-2,795784703423947","-1,665454941637838","-0,08853450597903212"
1900-01-01 15:32:13.625,COM12,,"-0,092","0,009","0,997","0,366","-19,287","-0,732","-2,368","10,47","46,73","83,447","73,346","67,080","20,11",96600,"402,67",,,,,,,,,,,,,,"0,1","0,914","-1,8282608783868761","-1,4864528036380167","0,14214227923175393"
1900-01-01 15:32:13.726,COM12,,"-0,107","0,011","1,02","0,488","-13,184","-0,549","-2,17","8,652","50,795","82,394","73,281","66,222","20,09",96599,"402,76",,,,,,,,,,,,,,"0,101","0,924","-1,6939805749105603","-1,2696018829638134","0,31479014924289395"
