Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3(),Delta_t,Sum Acceleration (g),Corrected_Acc_X(m/s²),Corrected_Acc_Y(m/s²),Corrected_Acc_Z(m/s²),Position X(m),Position Y(m),Position Z(m)
1900-01-01 09:06:30.297,COM12,2024-09-20 13:51:35.104,"-0,03","-0,029","0,997","0,061","-0,183","0,488","-0,346","0,775","166,371","-216,021","-54,847","390,754","19,46",96530,"408,64",,,,,,,,,,,,,,"0,11","0,938","-0,15139053840689473","-0,25818292232431145","-0,028353734205060377","-0,28483839649556286","0,07150154165521014","-0,12456352041610527"
1900-01-01 09:06:30.391,COM12,2024-09-20 13:51:35.204,"-0,019","-0,077","0,995","-0,305","0,244","0,244","-0,374","0,797","166,421","-162,240","-160,095","-119,600","19,51",96529,"408,72",,,,,,,,,,,,,,"0,094","0,899","-0,038717333438950674","-0,7251624365465835","-0,047891944218539706","-0,29669792550025625","0,06765007911771256","-0,12883865436216013"
1900-01-01 09:06:30.499,COM12,2024-09-20 13:51:35.304,"-0,027","-0,017","1,0","-0,366","0,183","2,258","-0,423","0,813","166,547","-95,875","-225,303","-284,115","19,49",96529,"408,72",,,,,,,,,,,,,,"0,108","0,956","-0,11264916574474257","-0,12871559909943006","0,0012548875918518831","-0,3116377072046826","0,061723655752266404","-0,13373587337641565"
1900-01-01 09:06:30.594,COM12,2024-09-20 13:51:35.404,"-0,017","-0,068","0,996","-0,305","0,0","0,183","-0,461","0,84","166,778","-42,224","-247,767","-197,808","19,49",96528,"408,81",,,,,,,,,,,,,,"0,095","0,911","-0,008716733951774885","-0,6231356763664235","-0,03786824565758806","-0,3248578503760094","0,05088679868308364","-0,13838537324120015"
1900-01-01 09:06:30.688,COM12,2024-09-20 13:51:35.504,"-0,021","-0,01","0,999","-0,122","0,183","1,892","-0,527","0,851","166,871","7,592","-255,255","-62,660","19,46",96529,"408,72",,,,,,,,,,,,,,"0,094","0,968","-0,04362907903852778","-0,043322078388447614","-0,008313036437906263","-0,33832434068791717","0,03978121990893617","-0,14305938499211013"
1900-01-01 09:06:30.797,COM12,2024-09-20 13:51:35.604,"-0,018","-0,024","1,0","-0,366","-0,061","0,122","-0,577","0,868","166,97","55,926","-258,440","76,947","19,46",96530,"408,64",,,,,,,,,,,,,,"0,109","0,958","-0,009529837771252686","-0,17269742019305073","0,0016230898288522866","-0,35405296303088113","0,024851656259813226","-0,14845996575173853"
1900-01-01 09:06:30.890,COM12,2024-09-20 13:51:35.704,"-0,018","-0,022","0,999","0,061","0,122","0,305","-0,637","0,873","167,047","93,353","-248,352","174,863","19,51",96530,"408,64",,,,,,,,,,,,,,"0,093","0,959","-0,006479179974148902","-0,14303342528205115","-0,008065085669793248","-0,36752883520063945","0,010876492096948456","-0,15313755563774648"
1900-01-01 09:06:30.999,COM12,2024-09-20 13:51:35.804,"-0,021","-0,025","0,999","-0,366","0,0","0,0","-0,692","0,89","167,075","119,613","-231,205","234,572","19,51",96530,"408,64",,,,,,,,,,,,,,"0,109","0,953","-0,031003802773208133","-0,16385314286513308","-0,007911109928505411","-0,3836914931717499","-0,007449740574639286","-0,15871388406787013"
1900-01-01 09:06:31.093,COM12,2024-09-20 13:51:35.904,"-0,022","-0,043","0,998","0,061","0,183","0,244","-0,753","0,901","167,124","139,958","-215,800","277,771","19,47",96529,"408,72",,,,,,,,,,,,,,"0,094","0,933","-0,036722604306569345","-0,33052186800558947","-0,01755999512066353","-0,3979544130876631","-0,02617450584739399","-0,16367798796853267"
1900-01-01 09:06:31.201,COM12,2024-09-20 13:51:36.004,"-0,021","-0,045","0,999","-0,061","0,244","1,16","-0,829","0,917","167,173","161,278","-204,269","316,836","19,51",96528,"408,81",,,,,,,,,,,,,,"0,108","0,933","-0,02143442416261096","-0,3379096136000461","-0,007526923177811895","-0,4145916087953365","-0,05162944368103672","-0,16946922052464414"
